userId	geneSymbol	geneName	entrezgene	score	gLink
AT1G01080	AT1G01080	NA	839463	-0.084527996	https://www.ncbi.nlm.nih.gov/gene/?term=839463
AT1G01100	AT1G01100	NA	839410	0.022146737250000003	https://www.ncbi.nlm.nih.gov/gene/?term=839410
AT1G01150	AT1G01150	NA	839294	-0.2721615905	https://www.ncbi.nlm.nih.gov/gene/?term=839294
AT1G01170	AT1G01170	ozone-responsive stress-like protein (DUF1138)	839263	0.365246659	https://www.ncbi.nlm.nih.gov/gene/?term=839263
AT1G01180	AT1G01180	NA	839239	0.177206336	https://www.ncbi.nlm.nih.gov/gene/?term=839239
AT1G01210	AT1G01210	NA	839481	-0.779999311	https://www.ncbi.nlm.nih.gov/gene/?term=839481
AT1G01240	AT1G01240	NA	839274	-0.106077572	https://www.ncbi.nlm.nih.gov/gene/?term=839274
AT1G01250	AT1G01250	NA	839322	-1.253705785	https://www.ncbi.nlm.nih.gov/gene/?term=839322
AT1G01300	AT1G01300	NA	839375	-1.033144949	https://www.ncbi.nlm.nih.gov/gene/?term=839375
AT1G01320	AT1G01320	NA	839293	0.0717412715	https://www.ncbi.nlm.nih.gov/gene/?term=839293
AT1G01350	AT1G01350	NA	838964	0.308974281	https://www.ncbi.nlm.nih.gov/gene/?term=838964
AT1G01355	AT1G01355	NA	6241268	-0.801257179	https://www.ncbi.nlm.nih.gov/gene/?term=6241268
AT1G01450	AT1G01450	NA	837060	0	https://www.ncbi.nlm.nih.gov/gene/?term=837060
AT1G01453	AT1G01453	NA	6240388	-0.9941932295	https://www.ncbi.nlm.nih.gov/gene/?term=6240388
AT1G01490	AT1G01490	NA	839440	-0.2129238825	https://www.ncbi.nlm.nih.gov/gene/?term=839440
AT1G01640	AT1G01640	NA	839534	0.791142888	https://www.ncbi.nlm.nih.gov/gene/?term=839534
AT1G01660	AT1G01660	NA	839461	0.2793419195	https://www.ncbi.nlm.nih.gov/gene/?term=839461
AT1G01670	AT1G01670	NA	839365	0.2043843165	https://www.ncbi.nlm.nih.gov/gene/?term=839365
AT1G01710	AT1G01710	acyl-CoA thioesterase II	839254	0.022812008	https://www.ncbi.nlm.nih.gov/gene/?term=839254
AT1G01725	AT1G01725	adenylosuccinate synthetase	839271	-0.192532175	https://www.ncbi.nlm.nih.gov/gene/?term=839271
AT1G01730	AT1G01730	NA	839260	-0.206431903	https://www.ncbi.nlm.nih.gov/gene/?term=839260
AT1G01760	AT1G01760	denosine deaminases acting on tRNA	839252	0.085540092	https://www.ncbi.nlm.nih.gov/gene/?term=839252
AT1G01770	AT1G01770	propionyl-CoA carboxylase	837323	-0.395776885	https://www.ncbi.nlm.nih.gov/gene/?term=837323
AT1G01800	AT1G01800	NA	839259	-0.08630149349999999	https://www.ncbi.nlm.nih.gov/gene/?term=839259
AT1G01840	AT1G01840	AP2-like ethylene-responsive transcription factor SNZ	839291	0.161197656	https://www.ncbi.nlm.nih.gov/gene/?term=839291
AT1G01880	AT1G01880	NA	837373	-0.005884878499999999	https://www.ncbi.nlm.nih.gov/gene/?term=837373
AT1G01920	AT1G01920	NA	839313	-0.254595345	https://www.ncbi.nlm.nih.gov/gene/?term=839313
AT1G01930	AT1G01930	NA	839310	0.012047369	https://www.ncbi.nlm.nih.gov/gene/?term=839310
AT1G01940	AT1G01940	NA	839309	0.181808211	https://www.ncbi.nlm.nih.gov/gene/?term=839309
AT1G01970	AT1G01970	NA	839299	0.124869125	https://www.ncbi.nlm.nih.gov/gene/?term=839299
AT1G01980	AT1G01980	NA	839296	2.909199615	https://www.ncbi.nlm.nih.gov/gene/?term=839296
AT1G02020	AT1G02020	nitroreductase family protein	837477	0.411743432	https://www.ncbi.nlm.nih.gov/gene/?term=837477
AT1G02060	AT1G02060	NA	839279	0.051671351	https://www.ncbi.nlm.nih.gov/gene/?term=839279
AT1G02080	AT1G02080	NA	839244	0.103098531	https://www.ncbi.nlm.nih.gov/gene/?term=839244
AT1G02160	AT1G02160	NA	839554	-0.2866051295	https://www.ncbi.nlm.nih.gov/gene/?term=839554
AT1G02180	AT1G02180	ferredoxin-like protein	839543	-1.925252406	https://www.ncbi.nlm.nih.gov/gene/?term=839543
AT1G02260	AT1G02260	Divalent ion symporter	839344	-0.2481432985	https://www.ncbi.nlm.nih.gov/gene/?term=839344
AT1G02270	AT1G02270	NA	839381	0.0449888195	https://www.ncbi.nlm.nih.gov/gene/?term=839381
AT1G02360	AT1G02360	NA	837724	-0.657198097	https://www.ncbi.nlm.nih.gov/gene/?term=837724
AT1G02370	AT1G02370	NA	837735	-0.192910376	https://www.ncbi.nlm.nih.gov/gene/?term=837735
AT1G02380	AT1G02380	NA	837745	-0.01147494	https://www.ncbi.nlm.nih.gov/gene/?term=837745
AT1G02405	AT1G02405	NA	837769	0.631898967	https://www.ncbi.nlm.nih.gov/gene/?term=837769
AT1G02410	AT1G02410	cytochrome c oxidase assembly protein CtaG / Cox11 family	839364	-0.269644493	https://www.ncbi.nlm.nih.gov/gene/?term=839364
AT1G02470	AT1G02470	NA	837812	-1.94269333	https://www.ncbi.nlm.nih.gov/gene/?term=837812
AT1G02570	AT1G02570	NA	839485	-1.051158679	https://www.ncbi.nlm.nih.gov/gene/?term=839485
AT1G02610	AT1G02610	NA	837915	-0.09342292666666667	https://www.ncbi.nlm.nih.gov/gene/?term=837915
AT1G02630	AT1G02630	NA	839240	0.165988727	https://www.ncbi.nlm.nih.gov/gene/?term=839240
AT1G02660	AT1G02660	NA	839544	0.28492307	https://www.ncbi.nlm.nih.gov/gene/?term=839544
AT1G02700	AT1G02700	GATA transcription factor-like protein	839492	1.837535851	https://www.ncbi.nlm.nih.gov/gene/?term=839492
AT1G02705	AT1G02705	NA	28716024	-1.196451662	https://www.ncbi.nlm.nih.gov/gene/?term=28716024
AT1G02710	AT1G02710	NA	839483	0.874594134	https://www.ncbi.nlm.nih.gov/gene/?term=839483
AT1G02750	AT1G02750	NA	839432	0.36311816599999996	https://www.ncbi.nlm.nih.gov/gene/?term=839432
AT1G02770	AT1G02770	NA	839421	7.70134e-4	https://www.ncbi.nlm.nih.gov/gene/?term=839421
AT1G02810	AT1G02810	NA	838078	-0.990301086	https://www.ncbi.nlm.nih.gov/gene/?term=838078
AT1G02816	AT1G02816	NA	839308	0.712680194	https://www.ncbi.nlm.nih.gov/gene/?term=839308
AT1G02830	AT1G02830	NA	838098	-0.266144273	https://www.ncbi.nlm.nih.gov/gene/?term=838098
AT1G02870	AT1G02870	NA	839496	0.052637294	https://www.ncbi.nlm.nih.gov/gene/?term=839496
AT1G02890	AT1G02890	NA	839507	0.073372658	https://www.ncbi.nlm.nih.gov/gene/?term=839507
AT1G02960	AT1G02960	NA	839363	-0.209988975	https://www.ncbi.nlm.nih.gov/gene/?term=839363
AT1G02990	AT1G02990	NA	839380	-0.10647315075000001	https://www.ncbi.nlm.nih.gov/gene/?term=839380
AT1G03010	AT1G03010	NA	839556	0.2519085316666667	https://www.ncbi.nlm.nih.gov/gene/?term=839556
AT1G03020	AT1G03020	NA	839505	0	https://www.ncbi.nlm.nih.gov/gene/?term=839505
AT1G03030	AT1G03030	NA	839473	-0.180576212	https://www.ncbi.nlm.nih.gov/gene/?term=839473
AT1G03040	AT1G03040	NA	839446	0.397282655	https://www.ncbi.nlm.nih.gov/gene/?term=839446
AT1G03050	AT1G03050	NA	839416	0.207501308	https://www.ncbi.nlm.nih.gov/gene/?term=839416
AT1G03070	AT1G03070	NA	839581	0.308416905	https://www.ncbi.nlm.nih.gov/gene/?term=839581
AT1G03100	AT1G03100	NA	839573	-0.666824985	https://www.ncbi.nlm.nih.gov/gene/?term=839573
AT1G03140	AT1G03140	splicing factor Prp18 family protein	839567	0.139611715	https://www.ncbi.nlm.nih.gov/gene/?term=839567
AT1G03150	AT1G03150	NA	839562	0.017661706	https://www.ncbi.nlm.nih.gov/gene/?term=839562
AT1G03180	AT1G03180	non-structural protein	839560	0.085210861	https://www.ncbi.nlm.nih.gov/gene/?term=839560
AT1G03210	AT1G03210	NA	838493	-0.0039058309999999985	https://www.ncbi.nlm.nih.gov/gene/?term=838493
AT1G03250	AT1G03250	R3H domain protein	838557	0.109860658	https://www.ncbi.nlm.nih.gov/gene/?term=838557
AT1G03260	AT1G03260	NA	839546	0.135686523	https://www.ncbi.nlm.nih.gov/gene/?term=839546
AT1G03270	AT1G03270	NA	838595	0.482053799	https://www.ncbi.nlm.nih.gov/gene/?term=838595
AT1G03280	AT1G03280	NA	838581	0.360963789	https://www.ncbi.nlm.nih.gov/gene/?term=838581
AT1G03320	AT1G03320	NA	839528	0.926943171	https://www.ncbi.nlm.nih.gov/gene/?term=839528
AT1G03350	AT1G03350	NA	838679	0.296079814	https://www.ncbi.nlm.nih.gov/gene/?term=838679
AT1G03365	AT1G03365	NA	10723112	0.126636717	https://www.ncbi.nlm.nih.gov/gene/?term=10723112
AT1G03370	AT1G03370	NA	839519	-0.0173952	https://www.ncbi.nlm.nih.gov/gene/?term=839519
AT1G03495	AT1G03495	NA	3766646	-3.147653091	https://www.ncbi.nlm.nih.gov/gene/?term=3766646
AT1G03510	AT1G03510	NA	839478	-0.211669756	https://www.ncbi.nlm.nih.gov/gene/?term=839478
AT1G03560	AT1G03560	NA	839458	-0.102161016	https://www.ncbi.nlm.nih.gov/gene/?term=839458
AT1G03610	AT1G03610	plant/protein (DUF789)	838961	0.9980061855	https://www.ncbi.nlm.nih.gov/gene/?term=838961
AT1G03620	AT1G03620	NA	839448	-0.7686575056666667	https://www.ncbi.nlm.nih.gov/gene/?term=839448
AT1G03660	AT1G03660	NA	28716028	-0.60113361	https://www.ncbi.nlm.nih.gov/gene/?term=28716028
AT1G03670	AT1G03670	NA	839438	1.122288166	https://www.ncbi.nlm.nih.gov/gene/?term=839438
AT1G03687	AT1G03687	NA	839052	0.026076413	https://www.ncbi.nlm.nih.gov/gene/?term=839052
AT1G03710	AT1G03710	NA	839427	0.8012861795	https://www.ncbi.nlm.nih.gov/gene/?term=839427
AT1G03720	AT1G03720	NA	839426	0	https://www.ncbi.nlm.nih.gov/gene/?term=839426
AT1G03740	AT1G03740	NA	839423	-0.029952584	https://www.ncbi.nlm.nih.gov/gene/?term=839423
AT1G03760	AT1G03760	NA	839119	0.291402123	https://www.ncbi.nlm.nih.gov/gene/?term=839119
AT1G03810	AT1G03810	NA	839403	1.899461112	https://www.ncbi.nlm.nih.gov/gene/?term=839403
AT1G03910	AT1G03910	cactus-binding carboxy-terminal, cactin	839371	0.272482653	https://www.ncbi.nlm.nih.gov/gene/?term=839371
AT1G03960	AT1G03960	NA	839361	-0.04097268	https://www.ncbi.nlm.nih.gov/gene/?term=839361
AT1G03982	AT1G03982	NA	3766656	0.05368301	https://www.ncbi.nlm.nih.gov/gene/?term=3766656
AT1G03990	AT1G03990	NA	839342	0.202950744	https://www.ncbi.nlm.nih.gov/gene/?term=839342
AT1G04000	AT1G04000	NA	839339	-0.059248857	https://www.ncbi.nlm.nih.gov/gene/?term=839339
AT1G04030	AT1G04030	eisosome protein	839326	-0.548770299	https://www.ncbi.nlm.nih.gov/gene/?term=839326
AT1G04090	AT1G04090	NA	839298	-0.851469959	https://www.ncbi.nlm.nih.gov/gene/?term=839298
AT1G04150	AT1G04150	NA	839249	0.203014093	https://www.ncbi.nlm.nih.gov/gene/?term=839249
AT1G04210	AT1G04210	NA	839441	0.135116402	https://www.ncbi.nlm.nih.gov/gene/?term=839441
AT1G04280	AT1G04280	NA	839555	1.127986036	https://www.ncbi.nlm.nih.gov/gene/?term=839555
AT1G04290	AT1G04290	NA	839552	0.003894749000000003	https://www.ncbi.nlm.nih.gov/gene/?term=839552
AT1G04300	AT1G04300	NA	839551	0.06818311	https://www.ncbi.nlm.nih.gov/gene/?term=839551
AT1G04330	AT1G04330	NA	839548	-1.914870379	https://www.ncbi.nlm.nih.gov/gene/?term=839548
AT1G04380	AT1G04380	NA	839535	1.2214954975	https://www.ncbi.nlm.nih.gov/gene/?term=839535
AT1G04390	AT1G04390	NA	839530	-0.115322652	https://www.ncbi.nlm.nih.gov/gene/?term=839530
AT1G04430	AT1G04430	NA	839522	0.026170136	https://www.ncbi.nlm.nih.gov/gene/?term=839522
AT1G04445	AT1G04445	NA	28716121	0	https://www.ncbi.nlm.nih.gov/gene/?term=28716121
AT1G04470	AT1G04470	NA	839512	0.684483322	https://www.ncbi.nlm.nih.gov/gene/?term=839512
AT1G04480	AT1G04480	NA	839511	-0.218149787	https://www.ncbi.nlm.nih.gov/gene/?term=839511
AT1G04500	AT1G04500	NA	839510	-0.666909398	https://www.ncbi.nlm.nih.gov/gene/?term=839510
AT1G04555	AT1G04555	NA	5007662	-0.38818531	https://www.ncbi.nlm.nih.gov/gene/?term=5007662
AT1G04570	AT1G04570	NA	839486	-0.599704878	https://www.ncbi.nlm.nih.gov/gene/?term=839486
AT1G04590	AT1G04590	NA	839484	-0.208485337	https://www.ncbi.nlm.nih.gov/gene/?term=839484
AT1G04650	AT1G04650	holliday junction resolvase	839457	-0.310216224	https://www.ncbi.nlm.nih.gov/gene/?term=839457
AT1G04680	AT1G04680	NA	839452	0.976418545	https://www.ncbi.nlm.nih.gov/gene/?term=839452
AT1G04700	AT1G04700	PB1 domain-containing protein tyrosine kinase	839437	-0.455611137	https://www.ncbi.nlm.nih.gov/gene/?term=839437
AT1G04780	AT1G04780	NA	839414	0.598182895	https://www.ncbi.nlm.nih.gov/gene/?term=839414
AT1G04800	AT1G04800	NA	839406	0.404462214	https://www.ncbi.nlm.nih.gov/gene/?term=839406
AT1G04830	AT1G04830	NA	839404	0.044910564	https://www.ncbi.nlm.nih.gov/gene/?term=839404
AT1G04840	AT1G04840	NA	839402	-0.480559159	https://www.ncbi.nlm.nih.gov/gene/?term=839402
AT1G04900	AT1G04900	NA	839386	-0.183336079	https://www.ncbi.nlm.nih.gov/gene/?term=839386
AT1G04910	AT1G04910	NA	839373	-0.015130291	https://www.ncbi.nlm.nih.gov/gene/?term=839373
AT1G04930	AT1G04930	NA	839377	5.22549e-4	https://www.ncbi.nlm.nih.gov/gene/?term=839377
AT1G04945	AT1G04945	NA	5007664	-0.21231676300000002	https://www.ncbi.nlm.nih.gov/gene/?term=5007664
AT1G04960	AT1G04960	golgin family A protein (DUF1664)	839346	-0.023498365	https://www.ncbi.nlm.nih.gov/gene/?term=839346
AT1G04970	AT1G04970	NA	839357	0.048912664	https://www.ncbi.nlm.nih.gov/gene/?term=839357
AT1G04985	AT1G04985	triacylglycerol lipase-like protein	839352	0.181879983	https://www.ncbi.nlm.nih.gov/gene/?term=839352
AT1G05040	AT1G05040	UBA-like domain protein	839338	-0.411236218	https://www.ncbi.nlm.nih.gov/gene/?term=839338
AT1G05060	AT1G05060	NA	839336	-0.552063116	https://www.ncbi.nlm.nih.gov/gene/?term=839336
AT1G05140	AT1G05140	NA	839307	0.245846643	https://www.ncbi.nlm.nih.gov/gene/?term=839307
AT1G05150	AT1G05150	NA	839312	0.493101749	https://www.ncbi.nlm.nih.gov/gene/?term=839312
AT1G05205	AT1G05205	hexokinase-1 protein	839266	-0.206681661	https://www.ncbi.nlm.nih.gov/gene/?term=839266
AT1G05280	AT1G05280	ERV-F (C)1 provirus ancestral Env polyprotein, putative (DUF604)	837026	-0.801257179	https://www.ncbi.nlm.nih.gov/gene/?term=837026
AT1G05310	AT1G05310	NA	837030	-0.801257179	https://www.ncbi.nlm.nih.gov/gene/?term=837030
AT1G05320	AT1G05320	myosin heavy chain, embryonic smooth protein	837031	-0.65810679	https://www.ncbi.nlm.nih.gov/gene/?term=837031
AT1G05330	AT1G05330	NA	837032	2.036146844	https://www.ncbi.nlm.nih.gov/gene/?term=837032
AT1G05370	AT1G05370	NA	837038	-1.087934405	https://www.ncbi.nlm.nih.gov/gene/?term=837038
AT1G05380	AT1G05380	NA	837039	0.163778557	https://www.ncbi.nlm.nih.gov/gene/?term=837039
AT1G05410	AT1G05410	CDPK adapter, putative (DUF1423)	837042	0.282364322	https://www.ncbi.nlm.nih.gov/gene/?term=837042
AT1G05450	AT1G05450	NA	837046	1.028758912	https://www.ncbi.nlm.nih.gov/gene/?term=837046
AT1G05510	AT1G05510	naphthalene 1,2-dioxygenase subunit alpha (DUF1264)	837053	0.55133103	https://www.ncbi.nlm.nih.gov/gene/?term=837053
AT1G05520	AT1G05520	NA	837054	0.176007049	https://www.ncbi.nlm.nih.gov/gene/?term=837054
AT1G05540	AT1G05540	NA	837056	-1.69613302	https://www.ncbi.nlm.nih.gov/gene/?term=837056
AT1G05550	AT1G05550	NA	837057	0.18467592833333335	https://www.ncbi.nlm.nih.gov/gene/?term=837057
AT1G05575	AT1G05575	NA	837061	-1.970621821	https://www.ncbi.nlm.nih.gov/gene/?term=837061
AT1G05640	AT1G05640	NA	837070	-0.173706592	https://www.ncbi.nlm.nih.gov/gene/?term=837070
AT1G05660	AT1G05660	NA	837073	0	https://www.ncbi.nlm.nih.gov/gene/?term=837073
AT1G05670	AT1G05670	NA	837074	-0.16139771949999998	https://www.ncbi.nlm.nih.gov/gene/?term=837074
AT1G05700	AT1G05700	NA	837077	0.394279444	https://www.ncbi.nlm.nih.gov/gene/?term=837077
AT1G05710	AT1G05710	NA	837078	1.0140382718333334	https://www.ncbi.nlm.nih.gov/gene/?term=837078
